p_venue_name,p_year,p_week_number,monday_income_predicted,tuesday_income_predicted,wednesday_income_predicted,thursday_income_predicted,friday_income_predicted,saturday_income_predicted,sunday_income_predicted
BILBAO,2025,48,328.84,312.36,624.28,503.24,1106.57,1658.08,1044.97
BILBAO,2025,49,392.78,323.42,659.59,505.19,1334.77,1710.93,1093.97
BILBAO,2025,50,338.63,344.09,633.17,519.98,1039.0,2049.85,868.38
BILBAO,2025,51,367.25,344.06,520.19,495.78,1150.34,1799.9,1111.09
BILBAO,2025,52,340.79,327.0,607.81,503.24,1207.68,1967.34,1032.82
BURGOS,2025,1,9.77,301.23,342.09,412.92,1222.54,1418.1,701.93
BURGOS,2025,2,8.34,311.16,413.27,372.57,1293.46,1676.63,801.18
BURGOS,2025,3,8.24,357.43,392.89,354.18,1208.97,1575.46,818.7
BURGOS,2025,4,7.35,290.53,382.3,356.85,1300.27,1360.58,778.25
BURGOS,2025,5,7.74,364.1,428.52,406.32,1314.77,1290.05,817.56
BURGOS,2025,6,9.51,304.23,433.02,342.72,1054.25,1516.87,742.53
BURGOS,2025,7,7.9,318.69,355.8,432.57,1353.12,1628.52,843.31
BURGOS,2025,8,9.48,327.6,420.91,432.63,1171.44,1678.23,811.58
BURGOS,2025,9,8.33,363.35,386.6,410.72,1171.49,1688.35,772.06
BURGOS,2025,10,7.81,289.83,417.97,367.9,1135.77,1431.36,854.41
BURGOS,2025,11,9.26,296.91,435.95,353.78,1309.18,1679.42,735.91
BURGOS,2025,12,7.91,348.71,360.09,374.54,1127.3,1254.27,768.7
BURGOS,2025,13,9.55,315.93,391.76,426.53,1164.36,1467.67,719.11
BURGOS,2025,14,9.28,368.27,444.69,441.44,1010.6,1466.78,673.94
BURGOS,2025,15,8.64,385.76,360.36,422.32,1143.07,1589.06,686.07
BURGOS,2025,16,8.84,331.67,402.72,443.19,1337.76,1691.79,690.54
BURGOS,2025,17,7.82,298.4,440.38,416.42,1207.21,1421.62,869.28
BURGOS,2025,18,9.42,363.46,347.25,413.07,1021.23,1344.3,892.48
BURGOS,2025,19,9.01,292.24,401.7,351.36,1045.45,1535.73,836.56
BURGOS,2025,20,9.57,385.17,405.73,340.67,1109.63,1611.23,867.93
BURGOS,2025,21,8.64,315.47,434.49,420.08,1054.52,1626.09,689.51
BURGOS,2025,22,9.79,297.32,417.18,455.14,1210.21,1678.13,869.38
BURGOS,2025,23,7.72,334.39,412.04,362.16,1357.64,1254.13,790.55
BURGOS,2025,24,9.5,288.04,347.78,360.41,1344.42,1623.78,807.5
BURGOS,2025,25,9.4,362.19,395.28,401.72,1265.97,1656.56,888.65
BURGOS,2025,26,7.96,380.72,416.31,351.81,1063.64,1386.01,709.3
BURGOS,2025,27,9.5,302.66,373.8,349.42,1271.67,1411.63,875.73
BURGOS,2025,28,7.49,287.53,371.66,365.11,1096.65,1512.57,872.84
BURGOS,2025,29,8.04,302.32,405.21,356.23,1289.18,1531.21,743.14
BURGOS,2025,30,8.02,383.47,388.99,403.0,1178.09,1278.45,711.73
BURGOS,2025,31,8.02,313.83,446.21,352.8,1176.08,1649.74,735.05
BURGOS,2025,32,9.67,328.47,367.46,359.32,1229.81,1299.65,823.06
BURGOS,2025,33,7.6,313.28,409.01,380.71,1331.61,1666.81,698.08
BURGOS,2025,34,9.46,366.28,460.69,413.42,1155.29,1334.39,785.56
BURGOS,2025,35,8.4,346.44,460.93,357.41,1029.84,1305.99,764.25
BURGOS,2025,36,7.62,344.9,382.03,433.87,1066.56,1430.77,702.94
BURGOS,2025,37,7.86,384.74,397.54,375.09,1119.5,1598.5,699.49
BURGOS,2025,38,7.6,369.11,446.14,367.2,1115.04,1356.29,713.08
BURGOS,2025,39,7.92,289.4,392.81,421.7,1309.62,1422.68,755.34
BURGOS,2025,40,7.67,377.0,385.56,446.91,1032.6,1550.1,705.89
BURGOS,2025,41,9.27,291.02,443.23,374.94,1299.26,1281.7,883.08
BURGOS,2025,42,8.95,368.45,423.95,433.57,1288.52,1511.53,876.64
BURGOS,2025,43,9.33,299.07,386.39,439.4,1038.5,1576.36,815.29
BURGOS,2025,44,7.52,290.65,354.82,371.48,1032.27,1393.25,848.66
BURGOS,2025,45,8.79,329.69,380.22,346.56,1240.24,1502.02,866.45
BURGOS,2025,46,9.14,291.73,354.71,396.47,1346.15,1663.7,881.09
BURGOS,2025,47,7.97,308.92,342.05,392.2,1092.09,1349.35,717.92
BURGOS,2025,48,7.34,325.12,406.58,444.51,1007.79,1405.26,690.48
BURGOS,2025,49,9.59,301.77,359.11,406.46,1189.94,1264.56,668.19
BURGOS,2025,50,9.74,295.11,450.43,437.94,1013.77,1461.99,778.97
BURGOS,2025,51,8.75,285.81,354.31,420.66,1219.26,1609.91,709.45
BURGOS,2025,52,7.4,364.61,449.88,438.75,1047.71,1556.64,858.85
PAMPLONA,2025,1,910.95,912.1,979.39,1102.78,2214.06,2196.89,1741.6
PAMPLONA,2025,2,999.71,926.94,1010.31,1112.21,2432.19,2654.0,1975.99
PAMPLONA,2025,3,902.57,946.05,1076.3,1154.64,2769.22,2246.19,1792.33
PAMPLONA,2025,4,925.94,847.15,1004.79,1079.39,2222.42,2590.46,1985.9
PAMPLONA,2025,5,970.08,902.38,1034.45,1275.25,2223.12,2727.77,2088.49
PAMPLONA,2025,6,1071.15,892.93,940.96,1244.11,2701.93,2447.2,2110.28
PAMPLONA,2025,7,1047.27,870.76,1138.8,1181.54,2553.01,2651.11,1785.78
PAMPLONA,2025,8,1103.32,994.45,1000.24,1090.08,2121.39,2860.1,2048.12
PAMPLONA,2025,9,994.9,1033.66,1080.15,1084.85,2239.3,2768.09,2082.19
PAMPLONA,2025,10,923.71,888.17,1036.32,1244.09,2152.94,2170.19,1652.18
PAMPLONA,2025,11,907.47,930.44,1172.67,993.46,2063.04,2882.54,1842.13
PAMPLONA,2025,12,1086.55,992.72,1054.81,1205.56,2440.59,2168.69,1790.04
PAMPLONA,2025,13,1024.91,884.13,954.75,1191.79,2673.09,2746.91,1851.12
PAMPLONA,2025,14,867.29,1029.79,1124.42,1254.27,2363.09,2422.36,1612.92
PAMPLONA,2025,15,1070.48,1043.7,1021.26,1137.64,2536.08,2752.91,1762.7
PAMPLONA,2025,16,957.78,804.85,1043.95,1154.21,2541.62,2775.36,1991.79
PAMPLONA,2025,17,943.51,914.21,997.42,1228.5,2279.95,2799.68,1720.76
PAMPLONA,2025,18,1023.24,866.46,1102.11,1118.01,2133.14,2398.87,1921.42
PAMPLONA,2025,19,1094.65,955.69,1067.3,1100.98,2214.64,2481.05,1940.61
PAMPLONA,2025,20,925.1,945.13,924.33,1103.81,2172.82,2868.57,1626.29
PAMPLONA,2025,21,940.27,815.7,1006.75,1214.54,2566.68,2654.5,2088.43
PAMPLONA,2025,22,1055.99,1024.45,1184.38,990.69,2134.75,2540.93,2007.38
PAMPLONA,2025,23,1104.08,1049.68,1053.62,988.68,2149.33,2901.89,1680.5
PAMPLONA,2025,24,1003.5,840.11,1146.34,1325.86,2055.37,2286.66,1588.06
PAMPLONA,2025,25,1004.14,847.2,1046.98,1204.28,2409.02,2417.84,1642.43
PAMPLONA,2025,26,903.88,934.08,1148.56,1291.67,2319.99,2520.38,1933.85
PAMPLONA,2025,27,903.61,1013.99,1089.09,1335.25,2706.91,2168.31,1872.8
PAMPLONA,2025,28,832.15,1067.56,1161.87,1248.51,2315.68,2852.15,1729.95
PAMPLONA,2025,29,861.55,856.23,889.31,1275.53,2538.1,2678.56,1663.41
PAMPLONA,2025,30,1049.43,951.45,1013.51,1137.41,2602.63,2295.48,2019.15
PAMPLONA,2025,31,1052.98,967.03,1171.13,1201.73,2290.21,2416.13,1932.22
PAMPLONA,2025,32,951.22,964.33,1130.84,1306.49,2100.6,2346.31,1674.57
PAMPLONA,2025,33,908.43,1058.73,1034.42,1237.57,2564.72,2733.35,2075.88
PAMPLONA,2025,34,974.78,1016.18,1078.12,1272.53,2527.01,2335.93,1719.77
PAMPLONA,2025,35,849.24,991.17,1047.2,1111.21,2617.06,2576.57,2083.44
PAMPLONA,2025,36,857.53,1036.57,1131.37,1262.99,2754.14,2384.44,1592.38
PAMPLONA,2025,37,1022.79,882.0,945.27,994.71,2138.81,2164.45,1688.45
PAMPLONA,2025,38,1023.31,941.29,927.2,1011.61,2210.94,2262.79,2105.68
PAMPLONA,2025,39,968.74,968.64,1030.52,1093.38,2319.69,2232.53,1646.78
PAMPLONA,2025,40,833.81,890.37,952.88,1213.53,2451.99,2876.83,1646.23
PAMPLONA,2025,41,1093.04,829.36,1102.03,1212.29,2674.72,2622.39,1769.57
PAMPLONA,2025,42,831.68,868.48,1002.24,1218.92,2593.62,2188.54,1933.83
PAMPLONA,2025,43,885.25,1024.66,956.47,1296.79,2349.07,2406.95,1997.57
PAMPLONA,2025,44,1022.22,904.21,1177.83,1059.83,2755.02,2766.81,1938.6
PAMPLONA,2025,45,849.2,1078.85,1157.14,1255.8,2603.67,2305.87,1632.41
PAMPLONA,2025,46,881.41,814.38,1023.0,1123.65,2318.26,2628.81,2115.77
PAMPLONA,2025,47,889.08,1065.58,1128.47,1034.19,2765.85,2406.57,1612.87
PAMPLONA,2025,48,1108.52,890.41,988.51,1022.79,2280.12,2585.37,1653.13
PAMPLONA,2025,49,954.22,1033.75,1064.69,1296.96,2256.02,2514.82,1599.36
PAMPLONA,2025,50,821.9,832.83,1177.15,1217.51,2525.66,2242.44,2070.24
PAMPLONA,2025,51,954.44,894.34,901.2,1196.96,2428.91,2243.69,2044.63
PAMPLONA,2025,52,828.54,866.27,939.12,1334.18,2190.26,2406.76,1690.8
SAN SEBASTIAN,2025,1,536.12,628.08,662.74,819.95,1761.89,2560.07,1290.27
SAN SEBASTIAN,2025,2,483.57,660.09,559.4,879.24,1901.58,2846.05,1381.43
SAN SEBASTIAN,2025,3,438.99,609.38,718.02,938.25,1456.15,2467.79,1162.68
SAN SEBASTIAN,2025,4,489.36,578.77,623.02,1013.45,1441.01,2593.79,1191.17
SAN SEBASTIAN,2025,5,461.25,554.78,674.39,769.11,1747.02,2170.86,1255.0
SAN SEBASTIAN,2025,6,560.59,656.99,626.4,996.86,1458.74,2477.43,1296.05
SAN SEBASTIAN,2025,7,498.43,521.2,662.49,940.91,1814.73,2758.74,1219.56
SAN SEBASTIAN,2025,8,492.09,584.22,622.85,941.99,1609.21,2135.88,1188.56
SAN SEBASTIAN,2025,9,499.72,521.09,558.4,901.26,1698.58,2760.19,1456.33
SAN SEBASTIAN,2025,10,479.53,603.46,706.64,955.88,1836.55,2168.75,1521.74
SAN SEBASTIAN,2025,11,493.08,555.43,704.66,841.89,1530.78,2191.59,1558.33
SAN SEBASTIAN,2025,12,589.77,517.37,640.83,955.66,1588.01,2588.83,1262.27
SAN SEBASTIAN,2025,13,563.34,566.1,712.72,848.5,1524.77,2129.06,1509.46
SAN SEBASTIAN,2025,14,559.52,518.61,606.67,775.45,1624.2,2122.54,1555.55
SAN SEBASTIAN,2025,15,589.91,590.55,712.74,839.67,1582.56,2383.63,1324.87
SAN SEBASTIAN,2025,16,583.36,653.3,678.8,842.87,1448.37,2837.33,1493.82
SAN SEBASTIAN,2025,17,536.09,615.92,711.85,915.8,1563.73,2613.38,1215.08
SAN SEBASTIAN,2025,18,543.95,603.13,549.7,776.84,1868.57,2194.7,1438.7
SAN SEBASTIAN,2025,19,575.85,595.95,547.07,772.11,1868.36,2249.2,1249.76
SAN SEBASTIAN,2025,20,505.95,566.03,652.95,966.45,1456.26,2570.39,1385.11
SAN SEBASTIAN,2025,21,471.03,664.57,595.67,792.05,1629.6,2646.64,1540.27
SAN SEBASTIAN,2025,22,462.41,522.12,607.51,848.81,1566.32,2737.22,1234.86
SAN SEBASTIAN,2025,23,569.51,617.66,561.55,770.54,1762.8,2395.22,1478.45
SAN SEBASTIAN,2025,24,472.01,627.02,700.83,797.72,1590.66,2136.81,1553.33
SAN SEBASTIAN,2025,25,566.23,615.19,602.32,762.4,1630.73,2684.61,1491.66
SAN SEBASTIAN,2025,26,486.25,535.89,719.18,892.97,1558.99,2314.43,1359.13
SAN SEBASTIAN,2025,27,524.26,613.54,605.4,873.63,1916.49,2137.99,1538.72
SAN SEBASTIAN,2025,28,523.8,588.08,646.29,812.87,1617.79,2643.27,1450.94
SAN SEBASTIAN,2025,29,487.28,604.45,578.78,856.09,1893.33,2253.1,1506.32
SAN SEBASTIAN,2025,30,548.5,654.05,575.84,822.14,1574.18,2730.32,1277.57
SAN SEBASTIAN,2025,31,535.97,610.83,564.35,904.16,1782.1,2805.82,1177.57
SAN SEBASTIAN,2025,32,521.74,614.57,665.9,922.88,1496.46,2720.06,1209.32
SAN SEBASTIAN,2025,33,519.35,509.19,675.63,779.79,1764.25,2719.67,1170.92
SAN SEBASTIAN,2025,34,440.38,579.09,639.0,901.25,1583.05,2736.34,1526.04
SAN SEBASTIAN,2025,35,586.6,547.22,713.45,1003.92,1759.74,2833.09,1402.65
SAN SEBASTIAN,2025,36,441.04,666.7,612.78,864.26,1631.93,2284.33,1551.44
SAN SEBASTIAN,2025,37,517.11,613.82,730.03,836.91,1539.71,2296.61,1326.69
SAN SEBASTIAN,2025,38,551.55,627.2,687.22,995.35,1492.82,2583.88,1456.01
SAN SEBASTIAN,2025,39,536.03,615.72,575.89,848.87,1560.39,2416.24,1464.98
SAN SEBASTIAN,2025,40,547.11,513.58,708.0,900.15,1868.49,2823.66,1319.99
SAN SEBASTIAN,2025,41,529.68,670.07,583.56,854.36,1670.78,2271.53,1527.38
SAN SEBASTIAN,2025,42,516.75,587.7,566.69,1001.81,1515.24,2316.27,1507.55
SAN SEBASTIAN,2025,43,474.45,601.97,577.62,778.33,1725.65,2393.65,1572.42
SAN SEBASTIAN,2025,44,507.29,509.26,616.54,867.55,1651.53,2536.08,1169.72
SAN SEBASTIAN,2025,45,541.65,661.67,710.06,769.25,1531.77,2386.15,1319.36
SAN SEBASTIAN,2025,46,541.44,538.97,712.43,840.06,1903.85,2334.73,1530.29
SAN SEBASTIAN,2025,47,453.92,641.65,675.91,857.46,1635.81,2526.18,1255.25
SAN SEBASTIAN,2025,48,469.04,644.89,656.68,994.37,1819.16,2426.14,1552.07
SAN SEBASTIAN,2025,49,580.09,514.23,712.94,810.75,1549.57,2823.79,1384.14
SAN SEBASTIAN,2025,50,565.34,508.29,606.7,812.98,1924.72,2420.8,1309.52
SAN SEBASTIAN,2025,51,454.7,606.11,706.81,929.43,1552.54,2416.83,1381.63
SAN SEBASTIAN,2025,52,513.55,580.64,546.48,985.96,1842.57,2647.59,1260.8
VITORIA,2025,1,57.28,307.73,322.62,367.82,1220.04,2070.84,1141.87
VITORIA,2025,2,66.37,287.88,359.58,326.95,1312.02,1897.12,1076.9
VITORIA,2025,3,67.12,296.98,361.74,361.21,1162.2,1878.31,1049.34
VITORIA,2025,4,66.64,300.94,404.16,312.49,1305.23,1872.3,875.9
VITORIA,2025,5,63.18,237.33,390.74,390.46,1380.07,2164.33,1140.51
VITORIA,2025,6,67.57,293.97,356.64,314.37,1131.54,2121.11,957.46
VITORIA,2025,7,56.26,253.18,303.26,374.35,1466.3,1972.72,959.42
VITORIA,2025,8,63.75,300.6,334.02,385.85,1405.6,1655.97,886.27
VITORIA,2025,9,66.36,263.99,312.18,308.58,1434.33,1780.49,1095.59
VITORIA,2025,10,57.18,254.01,399.98,379.54,1379.65,1832.69,900.42
VITORIA,2025,11,61.61,287.36,404.07,321.5,1351.92,1754.74,992.32
VITORIA,2025,12,68.83,300.21,315.14,314.07,1451.83,1998.28,1001.9
VITORIA,2025,13,57.95,248.58,402.51,356.68,1204.62,1639.0,875.05
VITORIA,2025,14,59.93,265.66,302.04,321.96,1245.86,1757.02,948.36
VITORIA,2025,15,64.01,267.33,386.93,392.97,1335.26,1688.87,1121.61
VITORIA,2025,16,64.21,267.74,302.12,385.88,1192.2,1799.62,905.95
VITORIA,2025,17,69.58,310.55,309.98,378.12,1400.63,1865.9,915.15
VITORIA,2025,18,64.94,268.02,321.69,311.63,1234.92,2087.63,934.65
VITORIA,2025,19,57.86,292.92,329.9,331.12,1210.27,1979.39,889.24
VITORIA,2025,20,63.18,239.59,315.02,338.93,1405.48,2076.73,1115.76
VITORIA,2025,21,63.23,308.26,350.19,306.47,1221.04,1714.46,1175.17
VITORIA,2025,22,72.78,292.27,363.27,360.69,1333.72,1936.48,938.64
VITORIA,2025,23,68.34,303.41,346.71,319.53,1354.21,1701.65,1056.07
VITORIA,2025,24,56.7,298.71,380.57,392.43,1441.61,1696.46,914.38
VITORIA,2025,25,63.37,249.2,328.67,301.03,1167.98,1705.21,1101.91
VITORIA,2025,26,60.38,294.97,329.56,387.55,1189.76,1855.04,977.04
VITORIA,2025,27,68.7,235.16,319.1,373.36,1310.31,2002.72,1030.41
VITORIA,2025,28,62.53,297.24,388.47,362.34,1414.71,1624.82,923.95
VITORIA,2025,29,56.86,242.68,317.91,341.32,1276.86,1904.05,1096.02
VITORIA,2025,30,57.95,278.92,372.62,305.53,1390.06,1792.8,914.12
VITORIA,2025,31,58.68,264.89,349.43,348.14,1159.62,2165.42,1111.7
VITORIA,2025,32,56.07,291.34,352.23,327.17,1384.25,1969.42,1050.28
VITORIA,2025,33,57.45,275.42,395.8,337.56,1338.7,1692.38,970.9
VITORIA,2025,34,66.25,301.04,386.5,363.17,1357.49,1756.15,1078.49
VITORIA,2025,35,62.0,294.31,396.68,352.57,1094.09,1926.78,887.84
VITORIA,2025,36,61.22,258.03,392.45,391.35,1179.81,2130.45,1053.87
VITORIA,2025,37,74.67,281.45,369.79,317.37,1146.71,2001.06,1128.84
VITORIA,2025,38,57.18,279.77,393.46,353.92,1345.67,1787.45,874.15
VITORIA,2025,39,56.27,238.65,339.06,321.37,1442.05,1639.69,888.93
VITORIA,2025,40,60.34,252.29,387.39,324.83,1388.67,2155.84,1133.96
VITORIA,2025,41,61.17,256.55,386.51,320.67,1318.48,2149.17,992.54
VITORIA,2025,42,72.97,236.64,396.36,376.59,1374.77,1625.56,978.27
VITORIA,2025,43,66.89,291.77,384.66,389.65,1304.79,1638.62,943.12
VITORIA,2025,44,69.95,235.48,339.37,334.29,1416.17,2129.29,1059.15
VITORIA,2025,45,70.32,261.65,330.64,385.57,1422.3,1658.46,1134.27
VITORIA,2025,46,58.66,279.22,332.8,370.91,1266.52,1932.29,1120.25
VITORIA,2025,47,75.03,276.28,347.25,388.84,1231.73,1739.36,1082.66
VITORIA,2025,48,57.3,233.47,312.72,341.0,1410.42,2010.24,1138.57
VITORIA,2025,49,59.55,250.29,340.13,302.86,1103.74,1702.86,1145.9
VITORIA,2025,50,62.45,270.35,391.17,307.53,1292.14,1779.92,1116.8
VITORIA,2025,51,73.76,243.81,360.5,320.55,1183.5,1784.47,924.91
VITORIA,2025,52,72.67,246.11,327.91,401.73,1166.79,1658.02,1036.62
ZARAGOZA,2025,1,563.62,523.83,682.45,695.49,1600.94,2521.12,1604.31
ZARAGOZA,2025,2,578.15,574.05,649.47,696.52,1560.98,2687.96,1562.94
ZARAGOZA,2025,3,504.87,503.1,604.12,708.32,1703.94,3035.28,1395.86
ZARAGOZA,2025,4,582.85,564.38,557.94,775.08,1455.6,3359.15,1320.6
ZARAGOZA,2025,5,595.98,578.28,516.84,813.47,1721.4,3156.61,1509.17
ZARAGOZA,2025,6,473.7,509.36,634.88,712.69,1615.09,2580.8,1467.96
ZARAGOZA,2025,7,588.17,599.68,603.66,782.63,1704.6,2876.61,1221.04
ZARAGOZA,2025,8,625.78,509.95,632.37,629.81,1346.89,2751.86,1601.22
ZARAGOZA,2025,9,596.54,520.61,596.93,711.85,1366.58,2538.31,1460.83
ZARAGOZA,2025,10,475.73,564.77,521.3,659.05,1513.6,2746.59,1317.01
ZARAGOZA,2025,11,541.29,567.63,568.21,814.71,1636.89,2509.87,1394.25
ZARAGOZA,2025,12,558.64,605.6,659.28,684.61,1714.38,2676.6,1475.39
ZARAGOZA,2025,13,580.84,543.93,646.27,682.33,1753.21,3011.9,1470.5
ZARAGOZA,2025,14,573.5,591.99,654.75,641.1,1682.93,3020.86,1571.6
ZARAGOZA,2025,15,518.81,571.46,632.41,780.12,1492.69,2765.67,1457.34
ZARAGOZA,2025,16,489.26,559.37,666.85,699.6,1511.71,2962.01,1603.7
ZARAGOZA,2025,17,549.03,490.42,632.89,740.28,1783.83,2856.88,1629.98
ZARAGOZA,2025,18,486.69,582.3,533.39,814.91,1393.3,3012.93,1213.56
ZARAGOZA,2025,19,477.02,495.66,546.88,818.57,1467.42,2835.03,1363.19
ZARAGOZA,2025,20,600.02,451.44,562.05,729.04,1489.67,3304.6,1291.51
ZARAGOZA,2025,21,538.46,527.13,663.25,779.54,1466.48,3242.79,1597.02
ZARAGOZA,2025,22,552.03,552.94,609.37,614.75,1571.21,3284.38,1216.47
ZARAGOZA,2025,23,618.82,581.68,634.17,631.69,1417.47,2909.26,1318.8
ZARAGOZA,2025,24,624.04,594.63,555.68,783.79,1431.44,2803.68,1498.97
ZARAGOZA,2025,25,492.34,545.63,589.11,770.56,1526.35,2785.9,1378.34
ZARAGOZA,2025,26,469.95,479.57,540.96,768.1,1393.49,2861.81,1525.42
ZARAGOZA,2025,27,623.83,540.41,545.47,681.58,1358.99,2641.95,1275.42
ZARAGOZA,2025,28,487.76,489.69,541.13,634.45,1600.1,3241.38,1353.2
ZARAGOZA,2025,29,486.55,586.41,610.74,613.09,1757.68,3304.02,1219.06
ZARAGOZA,2025,30,562.86,502.49,612.04,747.93,1794.83,2928.55,1275.42
ZARAGOZA,2025,31,484.4,478.93,583.9,643.2,1441.0,3078.7,1375.85
ZARAGOZA,2025,32,561.44,550.41,622.14,706.88,1528.98,2610.94,1623.93
ZARAGOZA,2025,33,592.91,575.79,613.49,650.66,1648.18,3305.25,1399.44
ZARAGOZA,2025,34,558.82,537.04,673.18,748.47,1401.06,2711.92,1380.47
ZARAGOZA,2025,35,523.26,561.95,579.73,677.46,1786.05,3105.44,1616.17
ZARAGOZA,2025,36,571.0,580.96,629.95,713.26,1434.18,2991.59,1438.47
ZARAGOZA,2025,37,520.43,566.67,521.6,674.63,1354.1,2545.03,1410.27
ZARAGOZA,2025,38,478.96,505.15,559.44,794.76,1678.05,3224.6,1217.64
ZARAGOZA,2025,39,491.88,563.76,601.27,780.85,1375.43,2780.05,1235.06
ZARAGOZA,2025,40,501.76,506.63,664.42,652.92,1752.36,3300.93,1480.3
ZARAGOZA,2025,41,524.81,513.06,558.67,629.31,1684.07,2599.36,1221.79
ZARAGOZA,2025,42,483.29,567.71,576.97,653.95,1652.1,2594.05,1290.04
ZARAGOZA,2025,43,599.11,456.95,575.51,706.61,1626.92,3210.67,1384.87
ZARAGOZA,2025,44,521.7,453.69,621.5,757.97,1486.67,2711.61,1412.62
ZARAGOZA,2025,45,597.98,466.39,582.64,664.57,1381.52,2815.28,1243.23
ZARAGOZA,2025,46,582.33,559.37,511.01,624.27,1526.58,3264.42,1449.62
ZARAGOZA,2025,47,474.99,507.96,543.94,772.52,1681.39,3326.05,1270.12
ZARAGOZA,2025,48,528.21,484.8,542.24,770.12,1695.61,2591.83,1354.77
ZARAGOZA,2025,49,584.85,560.65,652.01,690.59,1691.31,2845.45,1554.8
ZARAGOZA,2025,50,620.13,476.07,572.52,675.06,1649.57,2546.74,1477.83
ZARAGOZA,2025,51,599.81,495.39,535.09,793.1,1754.79,2505.27,1387.24
ZARAGOZA,2025,52,546.81,464.58,541.11,813.57,1737.72,2697.24,1411.74
