company,venue,year,month,ingresos,interes,impuestos,depreciacion,amortizacion,ebitda
PALLAPIZZA,PAMPLONA,2025,5,41550.4,3918.22,10075.74,5980.27,1137.03,62661.66
PALLAPIZZA,PAMPLONA,2025,6,98395.79,2483.23,10381.05,7544.05,1863.85,120667.97
PALLAPIZZA,PAMPLONA,2025,7,56417.4,3555.41,10227.14,6702.96,2337.06,79239.97
PALLAPIZZA,PAMPLONA,2025,8,145804.5,1444.09,5885.71,7033.75,2633.64,162801.69
PALLAPIZZA,PAMPLONA,2025,9,140279.79,2351.72,9013.45,4360.48,3362.57,159368.01000000004
PALLAPIZZA,PAMPLONA,2025,10,127326.96,4088.29,13906.97,3709.13,3343.27,152374.62
PALLAPIZZA,PAMPLONA,2025,11,51442.22,3771.75,10505.02,3850.45,2886.03,72455.47
PALLAPIZZA,PAMPLONA,2025,12,99089.67,4069.47,9649.83,5700.35,3896.26,122405.58
PALLAPIZZA,BILBAO,2025,1,124427.12,2818.26,9834.06,3006.64,2510.81,142596.89
PALLAPIZZA,BILBAO,2025,2,54655.1,2101.5,11200.41,5302.49,3922.45,77181.95
PALLAPIZZA,BILBAO,2025,3,138262.56,1416.09,6847.9,4514.62,3845.55,154886.71999999997
PALLAPIZZA,BILBAO,2025,4,132474.79,3060.66,13376.36,6739.38,2869.44,158520.63
PALLAPIZZA,BILBAO,2025,5,59251.5,1718.06,7810.56,3854.45,3930.28,76564.84999999999
PALLAPIZZA,BILBAO,2025,6,132313.1,1158.29,7317.44,7350.34,2085.04,150224.21000000002
PALLAPIZZA,BILBAO,2025,7,40361.17,3331.86,11701.67,5379.2,3263.07,64036.969999999994
PALLAPIZZA,BILBAO,2025,8,77881.03,1625.46,5816.96,2337.6,2807.14,90468.19000000002
PALLAPIZZA,BILBAO,2025,9,115135.36,3792.44,6259.96,4709.77,2785.64,132683.17
PALLAPIZZA,BILBAO,2025,10,71930.43,4470.49,14051.17,7548.75,3368.98,101369.81999999999
PALLAPIZZA,BILBAO,2025,11,114816.85,4450.25,5476.14,7919.22,2325.93,134988.38999999998
PALLAPIZZA,BILBAO,2025,12,83738.45,2579.41,12976.69,3301.02,2014.17,104609.74
PALLAPIZZA,BURGOS,2025,1,148084.3,1313.54,12850.14,7367.58,3721.55,173337.10999999996
PALLAPIZZA,BURGOS,2025,2,46375.85,3038.8,9205.79,3605.03,1712.34,63937.81
PALLAPIZZA,BURGOS,2025,3,64684.65,1021.72,12351.27,5699.21,3230.68,86987.53
PALLAPIZZA,BURGOS,2025,4,140169.59,3445.19,11907.86,2381.15,1399.4,159303.19
PALLAPIZZA,BURGOS,2025,5,138577.25,1135.15,6331.37,5710.36,2539.31,154293.43999999997
PALLAPIZZA,BURGOS,2025,6,81576.52,2676.58,8270.17,4422.13,1360.85,98306.25000000001
PALLAPIZZA,BURGOS,2025,7,62631.61,3105.7,11490.2,3282.26,1432.97,81942.73999999999
PALLAPIZZA,BURGOS,2025,8,48986.01,3519.36,11318.89,4441.72,3111.64,71377.62
PALLAPIZZA,BURGOS,2025,9,46007.5,2397.13,12267.35,5693.67,1479.88,67845.53
PALLAPIZZA,BURGOS,2025,10,98860.5,2675.31,5726.84,5507.71,1619.95,114390.31
PALLAPIZZA,BURGOS,2025,11,62758.69,4409.44,9380.18,5725.7,2119.4,84393.40999999999
PALLAPIZZA,BURGOS,2025,12,68646.82,1573.3,10323.95,3501.8,1843.96,85889.83000000002
PALLAPIZZA,VITORIA,2025,1,76257.54,3171.39,12675.67,4223.3,2249.7,98577.59999999999
PALLAPIZZA,VITORIA,2025,2,60498.49,2262.78,12904.21,6741.05,3350.55,85757.08
PALLAPIZZA,VITORIA,2025,3,149193.14,3091.23,13198.18,6378.14,1622.39,173483.08000000005
PALLAPIZZA,VITORIA,2025,4,99424.96,4558.78,6545.84,3445.07,3761.14,117735.79000000001
PALLAPIZZA,VITORIA,2025,5,131345.18,3228.57,6240.05,6410.66,3097.51,150321.97
PALLAPIZZA,VITORIA,2025,6,115110.79,4234.09,8783.87,7612.72,2372.95,138114.41999999998
PALLAPIZZA,VITORIA,2025,7,132985.53,2715.51,13424.11,2104.05,3948.73,155177.93000000002
PALLAPIZZA,VITORIA,2025,8,100913.0,2228.1,9289.21,4340.48,3783.48,120554.26999999999
PALLAPIZZA,VITORIA,2025,9,98471.82,4596.18,11459.61,5937.35,3907.48,124372.44
PALLAPIZZA,VITORIA,2025,10,129328.8,2519.24,11573.93,4128.06,3164.42,150714.45
PALLAPIZZA,VITORIA,2025,11,51806.22,2359.15,10047.56,3084.11,2389.65,69686.68999999999
PALLAPIZZA,VITORIA,2025,12,71397.28,1843.91,10141.3,6803.15,3272.72,93458.36
PALLAPIZZA,ZARAGOZA,2025,1,89542.21,2784.69,11241.37,7698.55,2174.9,113441.72
PALLAPIZZA,ZARAGOZA,2025,2,101387.0,1876.12,12192.35,4209.49,1881.42,121546.38
PALLAPIZZA,ZARAGOZA,2025,3,140784.19,2922.83,11942.7,7818.31,1321.42,164789.45
PALLAPIZZA,ZARAGOZA,2025,4,77418.84,4059.67,13309.73,2397.18,1580.8,98766.21999999999
PALLAPIZZA,ZARAGOZA,2025,5,62705.21,2049.57,13791.46,2371.57,3829.47,84747.28
PALLAPIZZA,ZARAGOZA,2025,6,130771.96,4917.64,14710.17,3652.33,2899.58,156951.68
PALLAPIZZA,ZARAGOZA,2025,7,71466.38,2022.97,6469.47,6876.42,2385.31,89220.55
PALLAPIZZA,ZARAGOZA,2025,8,65565.67,2077.64,5804.85,4308.64,2936.49,80693.29000000001
PALLAPIZZA,ZARAGOZA,2025,9,44803.97,1220.91,10633.42,7873.87,2884.41,67416.58
PALLAPIZZA,ZARAGOZA,2025,10,129850.12,3245.26,12787.56,7099.32,1850.52,154832.78
PALLAPIZZA,ZARAGOZA,2025,11,83597.72,3062.08,14339.02,2843.83,1931.81,105774.46
PALLAPIZZA,ZARAGOZA,2025,12,73163.41,4976.78,10372.98,5589.68,2419.01,96521.86
